AGE EMP ADRE REVENU CREDIT DEBTINCOME CREDDEBT OTHDEBT ED DECOUVERT
36 15 10 39 3.2 3.1 1.365364 2.385636 Bac 0
26 4 3 27 10.5 23.6 9.8766 7.8234 Bac 1
31 11 12 45 17 3.6 0.53424 0.47376 Bac 0
37 7 3 32 19.6 13.5 1.29519 2.21481 Bac 0
35 4 16 29 11 7.9 1.72062 3.01938 SansBac 0
26 4 3 20 5.4 10.1 1.11807 3.42693 Bac 0
40 10 15 45 18.8 4.9 0.45864 1.45236 Bac 0
29 5 4 36 12.4 8.9 0.266377 3.382623 Bac+3 1
37 5 17 29 24.6 7.7 0.833448 1.014552 Bac+5 0
32 12 12 28 2.9 21.4 2.411994 8.502006 Bac 0
23 0 1 17 27.7 8.6 1.865856 3.638144 Bac+3 1
32 3 10 23 6.2 5.2 0.552552 1.163448 Bac 0
25 1 6 15 11.4 6.2 2.10769 1.92231 Bac 1
38 5 5 54 10.6 3.4 1.032512 1.449488 Bac 0
32 0 6 18 5.8 9.5 1.34273 2.17227 Bac+3 1
41 2 0 15 26.3 2.8 0.140448 0.475552 Bac+5 1
36 17 6 54 4.4 4.4 0.694364 1.197636 Bac 0
42 13 0 82 3.3 1.4 0.127008 0.376992 Bac+5 0
41 14 8 52 7.3 9 0.36675 1.88325 Bac 0
29 4 9 19 6.3 5.8 1.506608 2.437392 Bac+3 0
38 4 6 31 9.3 2.9 0.311634 0.471366 Bac+5 1
39 22 9 113 2.6 12.9 0.984528 1.337472 Bac 0
36 6 9 26 8.3 17.4 0.5481 5.5419 Bac 0
33 8 7 27 5.8 13.7 2.44956 5.77044 Bac 0
42 21 11 121 3.1 6.3 0.519939 0.803061 Bac+3 0
41 22 17 75 23.6 2.2 0.452694 0.801306 Bac+3 0
40 8 17 28 3.6 12.4 0.2852 2.5668 Bac 0
53 9 18 50 11.2 5.9 0.964768 0.687232 Bac 1
28 4 7 26 13.5 6.7 0.469536 1.138464 Bac 0
36 12 13 60 7.9 4.4 1.2771 4.6629 Bac+3 0
34 9 13 45 10.1 9.1 0.14105 2.13395 Bac+3 0
45 2 5 39 4.9 5.4 0.447984 3.224016 Bac+5 0
38 6 0 41 8.9 3.4 0.35547 1.03853 Bac 0
21 0 2 24 7.7 12.4 0.377208 2.846792 Bac+5 0
42 12 11 51 21.4 10 1.77 0.73 Bac 0
52 16 25 64 8.6 8.4 0.681912 2.090088 Bac 0
25 4 6 33 5.2 8 1.72128 1.79872 Bac+3 0
34 9 9 65 6.2 18.1 1.550808 7.680192 Bac+3 0
40 15 16 73 3.4 16.3 1.327146 2.421854 Bac+3 0
31 0 4 27 12.8 7.2 0.61344 1.54656 Bac+3 1
25 1 0 20 6.7 13.2 1.6335 2.7225 Bac 1
45 12 19 37 9.5 19.2 2.800512 4.687488 Bac 0
23 3 0 19 8.4 11.3 2.104512 1.511488 Bac 1
34 6 3 27 35.3 4.5 0.31005 0.85995 SansBac 1
31 2 4 22 12.7 8.9 1.420796 0.893204 Bac 1
28 5 9 22 2.8 8.7 0.773256 3.054744 Bac 0
41 7 11 43 4.4 4.1 0.326196 0.739804 Bac 0
39 7 2 68 13 6.5 1.17819 1.29181 Bac+3 1
29 9 3 36 1.4 1.7 0.353056 0.394944 Bac+3 0
21 5 1 25 9 4 1.73484 1.42516 Bac 0
41 19 2 68 5.8 9.7 0.550572 1.583428 Bac+3 0
26 1 7 27 2.9 11.3 0.291088 2.872912 SansBac 0
33 5 10 18 12.9 8.8 3.751616 2.672384 Bac 0
45 18 19 35 17.4 7.5 0.567 1.008 Bac+3 0
39 17 20 60 13.7 10.3 0.720588 1.545412 Bac 0
24 7 2 21 6.3 17.3 0.158814 2.955186 Bac 0
29 6 7 57 2.2 7 0.35938 2.02062 Bac+3 0
27 1 0 23 12.4 9.3 11.359392 5.008608 Bac+3 0
40 13 2 28 5.9 17.3 1.787436 3.056564 Bac 0
29 8 10 24 6.7 24.4 1.358348 3.277652 Bac 0
29 4 3 37 6.6 8.6 0.817516 3.396484 Bac+3 1
24 0 2 16 16 16.4 2.918216 3.805784 Bac 1
27 9 6 45 17.8 18 0.24192 2.63808 Bac 1
41 16 22 135 4.4 17.1 1.337904 2.766096 Bac+5 0
31 11 8 25 9.1 7.5 0.3024 0.7476 Bac 0
41 16 17 68 5.4 11.4 0.775656 1.618344 Bac 0
42 5 3 41 3.4 12.6 0.5733 2.5767 Bac+3 0
28 1 3 26 12.4 12.9 3.032016 3.675984 SansBac 0
30 2 8 25 10 15.1 1.801128 1.822872 SansBac 0
30 11 1 33 8.4 7.4 1.457652 1.650348 Bac 0
31 8 4 44 8 23.3 7.7589 9.7161 Bac 0
45 15 14 51 18.1 6.4 0.186944 1.285056 Bac+3 0
43 13 23 76 6.1 8.2 1.492154 1.049846 Bac 1
36 4 10 23 16.3 18.6 0.56916 3.15084 Bac 0
28 8 6 30 7.2 10.5 2.47212 0.36288 Bac 0
27 3 5 33 13.2 12.4 3.490848 0.973152 Bac+3 0
36 13 3 39 19.2 27.7 2.043706 2.665294 Bac+5 0
33 12 11 32 11.3 11.4 0.37107 1.33893 Bac 0
54 9 2 28 14.8 5.8 0.296496 0.747504 Bac 1
33 9 4 29 13.8 26.3 1.960665 1.984335 Bac 1
31 9 5 26 4.5 9.3 1.331946 1.551054 Bac 0
21 4 0 26 8.9 11.2 2.016 3.584 Bac 0
28 5 9 44 8.7 12.8 1.08864 2.36736 Bac+5 0
31 2 1 26 6.8 6.7 0.47168 0.86832 Bac+3 1
32 8 6 26 4.1 8.4 0.2793 1.3167 Bac 0
35 1 8 24 12.5 35.3 1.982448 7.548552 Bac+3 1
40 13 11 102 18.9 12.7 1.092454 1.701546 Bac+3 1
22 4 2 24 15.6 13 1.0166 7.8234 Bac 1
39 4 9 38 6.5 6.6 1.15995 1.28205 Bac 0
41 14 3 44 1.7 16 1.00864 1.55136 SansBac 0
34 16 9 79 4 17.8 2.85156 5.15844 Bac 0
29 7 9 22 9.7 6.1 2.151104 2.484896 Bac 0
31 4 10 28 11.3 14.8 1.558144 2.585856 Bac 0
32 1 0 20 4.8 13.8 1.348674 2.653326 Bac 1
32 14 7 73 8.8 6.8 0.28288 1.48512 Bac 0
33 6 14 21 7.5 12.5 0.591 2.409 Bac 0
26 6 0 22 10.3 18.9 6.226794 13.051206 Bac 0
21 1 1 18 17.3 15.6 1.636128 2.107872 Bac 0
28 7 2 34 7 4.8 0.31488 0.64512 Bac+3 0
